lkw_id,kapazitaet_kg,verfuegbar_ab_h,verfuegbar_bis_h,zugewiesener_auftrag_id,anfahrt_dist_km,transport_dist_km,gesamtdistanz_fuer_auftrag_km,ladebeginn_h,ladeende_h,entladung_ende_h
LKW1,12000,8.28,16.38,,,,,,,
LKW2,16000,8.18,16.31,,,,,,,
LKW3,10000,8.43,19.24,AUF14,242.14,225.63,467.77,13.91,14.68,18.780375
LKW4,20000,8.52,17.16,,,,,,,
LKW5,11000,7.2,16.72,AUF7,62.56,234.14,296.7,9.44,10.18,14.17675
LKW6,21000,8.46,18.6,,,,,,,
LKW7,12000,8.15,18.97,AUF11,102.69,256.58,359.27,9.433625000000001,10.363625,14.490875
LKW8,15000,8.71,20.18,AUF2,252.15,364.25,616.4,11.93,12.83,18.793125
LKW9,15000,7.74,16.58,AUF10,45.14,352.1,397.24,8.43,9.17,14.741249999999999
LKW10,17000,8.07,17.05,AUF5,57.56,268.94,326.5,10.61,11.559999999999999,16.37175
